Domain_id,Suburb,Postcode,Lat,Lng,lga_ID
15957.0,Glen Waverley,3150.0,-37.8921876,145.1706992,24.0
43647.0,Wheelers Hill,3150.0,-37.8921876,145.1706992,24.0
28457.0,Mount Waverley,3149.0,-37.8772869,145.1265477,24.0
29167.0,Mulgrave,3170.0,-37.9267579,145.1762197,24.0
31547.0,Oakleigh,3166.0,-37.9006677,145.0989646,24.0
31567.0,Oakleigh East,3166.0,-37.9006677,145.0989646,24.0
19257.0,Hughesdale,3166.0,-37.9006677,145.0989646,24.0
19317.0,Huntingdale,3166.0,-37.9006677,145.0989646,24.0
2557.0,Balwyn,3103.0,-37.8090918,145.0769045,17.0
11487.0,Deepdene,3103.0,-37.8090918,145.0769045,17.0
2597.0,Balwyn North,3104.0,-37.7941151,145.0879338,17.0
7237.0,Burwood,3125.0,-37.8483275,145.1099967,17.0
7677.0,Camberwell,3124.0,-37.8334095,145.0658766,17.0
7907.0,Canterbury,3126.0,-37.8245223,145.0741474,17.0
18087.0,Hawthorn,3122.0,-37.8222114,145.0328017,17.0
21137.0,Kew,3101.0,-37.803516,145.0328017,17.0
21167.0,Kew East,3102.0,-37.7922797,145.0548502,17.0
38357.0,Surrey Hills,3127.0,-37.8259003,145.0989646,17.0
27307.0,Mont Albert,3127.0,-37.8259003,145.0989646,17.0
18117.0,Hawthorn East,3123.0,-37.8310813,145.0520938,17.0
3547.0,Beaumaris,3193.0,-37.9809272,145.0328017,30.0
4627.0,Black Rock,3193.0,-37.9809272,145.0328017,30.0
5957.0,Brighton,3186.0,-37.9044002,144.9997396,30.0
13627.0,Elsternwick,3185.0,-37.8862009,145.0080039,30.0
15237.0,Gardenvale,3185.0,-37.8862009,145.0080039,30.0
34527.0,Ripponlea,3185.0,-37.8862009,145.0080039,30.0
17737.0,Hampton,3188.0,-37.9394031,145.0135139,30.0
17757.0,Hampton East,3188.0,-37.9394031,145.0135139,30.0
18717.0,Highett,3190.0,-37.9487497,145.0410692,30.0
35637.0,Sandringham,3191.0,-37.9533967,145.0135139,30.0
5997.0,Brighton East,3187.0,-37.9179439,145.0190242,30.0
3827.0,Belmont,3216.0,-38.1747227,144.3139277,33.0
17417.0,Grovedale,3216.0,-38.1747227,144.3139277,33.0
18747.0,Highton,3216.0,-38.1747227,144.3139277,33.0
25477.0,Marshall,3216.0,-38.1747227,144.3139277,33.0
42057.0,Wandana Heights,3216.0,-38.1747227,144.3139277,33.0
43007.0,Waurn Ponds,3216.0,-38.1747227,144.3139277,33.0
5727.0,Breakwater,3219.0,-38.176358,144.3849841,33.0
13117.0,East Geelong,3219.0,-38.176358,144.3849841,33.0
30457.0,Newcomb,3219.0,-38.176358,144.3849841,33.0
