streetNumber,streetName,streetType,suburb,postcode,state,geoLocation,propertyType,bedrooms,bathrooms,carspaces,result,agent,id,agencyId,agencyName,agencyProfilePageUrl,propertyDetailsUrl,price,unitNumber,area,second_ID,canonicalUrl,areaSize,photos
1,Carmen,St,Newport,3015.0,Vic,"{'latitude': -37.8440751, 'longitude': 144.8661816}",Townhouse,3,2.0,2.0,AUVB,Jas Stephens Real Estate Yarraville,2017635694,22,Jas Stephens Real Estate Yarraville,https://www.domain.com.au/real-estate-agencies/jasstephensrealestateyarraville-22,https://www.domain.com.au/1-1-carmen-street-newport-vic-3015-2017635694,910000,1,0,RE-9435-NT,https://www.domain.com.au/property-profile/1-carmen-street-newport-vic-3015,690,https://bucket-api.domain.com.au/v1/bucket/image/w640-h426-2009754108_1_pi_150307_111752
25,Ford,St,Newport,3015.0,Vic,"{'latitude': -37.8444574, 'longitude': 144.8775701}",House,3,2.0,1.0,AUSP,Williams Real Estate,2017642906,16021,Williams Real Estate,https://www.domain.com.au/real-estate-agencies/williamsrealestate-16021,https://www.domain.com.au/25-ford-street-newport-vic-3015-2017642906,1685000,,0,JU-5393-GL,https://www.domain.com.au/property-profile/25-ford-street-newport-vic-3015,343,https://bucket-api.domain.com.au/v1/bucket/image/2017642906_1_1_220307_011250-w1920-h1280
79,Home,Rd,Newport,3015.0,Vic,"{'latitude': -37.8393414, 'longitude': 144.887643}",House,4,2.0,2.0,AUSP,Gunn&Co Estate Agents,2017629761,7881,Gunn &Co Estate Agents,https://www.domain.com.au/real-estate-agencies/gunncoestateagents-7881,https://www.domain.com.au/79-home-road-newport-vic-3015-2017629761,1780000,,0,QO-0896-HD,https://www.domain.com.au/property-profile/79-home-road-newport-vic-3015,499,https://bucket-api.domain.com.au/v1/bucket/image/2017629761_1_1_220301_035504-w3600-h2400
21,Monmouth,St,Newport,3015.0,Vic,"{'latitude': -37.846002, 'longitude': 144.871026}",House,4,2.0,1.0,AUSD,Compton Green,2017654849,3133,Compton Green,https://www.domain.com.au/real-estate-agencies/comptongreen-3133,https://www.domain.com.au/21-monmouth-street-newport-vic-3015-2017654849,1625000,,0,HP-7401-MM,https://www.domain.com.au/property-profile/21-monmouth-street-newport-vic-3015,315,https://bucket-api.domain.com.au/v1/bucket/image/2017654849_1_1_220313_100615-w4000-h2667
17,Braemar,Ct,Newtown,3220.0,Vic,"{'latitude': -38.1600101, 'longitude': 144.33064}",House,3,2.0,2.0,AUSD,BP Geelong,2017634418,5005,Barry Plant - Geelong,https://www.domain.com.au/real-estate-agencies/barryplantgeelong-5005,https://www.domain.com.au/17-braemar-court-newtown-vic-3220-2017634418,1120000,,0,KZ-4048-LH,https://www.domain.com.au/property-profile/17-braemar-court-newtown-vic-3220,558,https://bucket-api.domain.com.au/v1/bucket/image/2017634418_1_1_220302_062121-w1920-h1280
18,Grant,St,Newtown,3220.0,Vic,"{'latitude': -38.1527517, 'longitude': 144.3287402}",House,3,2.0,2.0,AUSD,Whitford,2017646668,17234,Whitford,https://www.domain.com.au/real-estate-agencies/whitford-17234,https://www.domain.com.au/18-grant-street-newtown-vic-3220-2017646668,1290000,,0,YI-7891-XT,https://www.domain.com.au/property-profile/18-grant-street-newtown-vic-3220,766,https://bucket-api.domain.com.au/v1/bucket/image/2017646668_1_1_220308_034935-w4000-h2667
76,Saffron,St,Newtown,3220.0,Vic,"{'latitude': -38.1545739, 'longitude': 144.3465657}",House,3,1.0,1.0,AUSD,Buxton Newtown,2017645226,14503,Buxton Newtown,https://www.domain.com.au/real-estate-agencies/buxtonnewtown-14503,https://www.domain.com.au/76-saffron-street-newtown-vic-3220-2017645226,955000,,0,IR-8309-PY,https://www.domain.com.au/property-profile/76-saffron-street-newtown-vic-3220,390,https://bucket-api.domain.com.au/v1/bucket/image/2017645226_1_1_220307_105512-w1600-h1067
125,Skene,St,Newtown,3220.0,Vic,"{'latitude': -38.1472463, 'longitude': 144.3396238}",House,4,2.0,1.0,AUSD,Gartland Property,2017639664,11825,Gartland,https://www.domain.com.au/real-estate-agencies/gartland-11825,https://www.domain.com.au/125-skene-street-newtown-vic-3220-2017639664,2860000,,0,TG-1969-OG,https://www.domain.com.au/property-profile/125-skene-street-newtown-vic-3220,875,https://bucket-api.domain.com.au/v1/bucket/image/2017639664_1_1_220304_021216-w4000-h2667
150A,Skene,St,Newtown,3220.0,Vic,"{'latitude': -38.1468721, 'longitude': 144.3391079}",House,2,1.0,1.0,AUSD,Whitford,2017646941,17234,Whitford,https://www.domain.com.au/real-estate-agencies/whitford-17234,https://www.domain.com.au/150a-skene-street-newtown-vic-3220-2017646941,882500,,0,BR-4703-TK,https://www.domain.com.au/property-profile/150a-spring-street-reservoir-vic-3073,201,https://bucket-api.domain.com.au/v1/bucket/image/12960248_1_1_190227_104500-w800-h600
9,William,St,Newtown,3220.0,Vic,"{'latitude': -38.1482431, 'longitude': 144.3370682}",House,3,2.0,4.0,AUSD,Buxton Newtown,2017646254,14503,Buxton Newtown,https://www.domain.com.au/real-estate-agencies/buxtonnewtown-14503,https://www.domain.com.au/9-william-street-newtown-vic-3220-2017646254,1035000,,0,KB-5679-FN,https://www.domain.com.au/property-profile/9-william-street-newtown-vic-3220,539,https://bucket-api.domain.com.au/v1/bucket/image/2017646254_1_1_220308_022808-w1600-h1067
19,Carrington,Rd,Niddrie,3042.0,Vic,"{'latitude': -37.7380049, 'longitude': 144.8903357}",House,4,2.0,3.0,AUSD,Barry Plant Essendon,2017633436,4475,Barry Plant Essendon,https://www.domain.com.au/real-estate-agencies/barryplantessendon-4475,https://www.domain.com.au/19-carrington-road-niddrie-vic-3042-2017633436,1497000,,0,EN-1619-UV,https://www.domain.com.au/property-profile/19-carrington-road-niddrie-vic-3042,650,https://bucket-api.domain.com.au/v1/bucket/image/2017633436_1_1_220303_010542-w2500-h1667
