postcode,LGA
3312,Glenelg (S)
3314,Southern Grampians (S)
3315,Southern Grampians (S)
3317,West Wimmera (S)
3318,West Wimmera (S)
3319,West Wimmera (S)
3321,Golden Plains (S)
3322,Colac-Otway (S)
3323,Corangamite (S)
3324,Corangamite (S)
3325,Corangamite (S)
3328,Golden Plains (S)
3329,Golden Plains (S)
3330,Golden Plains (S)
3331,Golden Plains (S)
3332,Golden Plains (S)
3333,Golden Plains (S)
3334,Moorabool (S)
3335,Melton (S)
3336,Campaspe (S)
3337,Melton (S)
3338,Melton (S)
3340,Greater Geelong (C)
3341,Moorabool (S)
3342,Moorabool (S)
3345,Moorabool (S)
3350,Ballarat (C)
3351,Golden Plains (S)
3352,Moorabool (S)
3354,Ballarat (C)
3355,Ballarat (C)
3356,Ballarat (C)
3357,Ballarat (C)
3358,Ballarat (C)
3360,Golden Plains (S)
3361,Corangamite (S)
3363,Hepburn (S)
3364,Hepburn (S)
3370,Central Goldfields (S)
3371,Central Goldfields (S)
3373,Pyrenees (S)
3374,Northern Grampians (S)
3375,Ararat (RC)
3377,Ararat (RC)
3378,Ararat (RC)
3379,Ararat (RC)
3380,Northern Grampians (S)
3381,Yarriambiack (S)
3384,Northern Grampians (S)
3385,Horsham (RC)
3387,Northern Grampians (S)
3388,Northern Grampians (S)
3390,Yarriambiack (S)
3391,Yarriambiack (S)
3392,Yarriambiack (S)
3393,Yarriambiack (S)
3395,Yarriambiack (S)
3396,Yarriambiack (S)
3399,Horsham (RC)
3400,Horsham (RC)
3401,West Wimmera (S)
3407,Southern Grampians (S)
3409,Horsham (RC)
3412,West Wimmera (S)
3413,West Wimmera (S)
3414,Hindmarsh (S)
3415,West Wimmera (S)
3418,Hindmarsh (S)
3419,West Wimmera (S)
3420,West Wimmera (S)
3422,Hindmarsh (S)
3423,Hindmarsh (S)
3424,Mildura (RC)
3427,Hume (C)
3428,Hume (C)
3429,Hume (C)
3430,Macedon Ranges (S)
3431,Macedon Ranges (S)
3432,Macedon Ranges (S)
3433,Macedon Ranges (S)
3434,Macedon Ranges (S)
3435,Mitchell (S)
3437,Macedon Ranges (S)
3438,Macedon Ranges (S)
3440,Macedon Ranges (S)
3441,Macedon Ranges (S)
3442,Macedon Ranges (S)
3444,Macedon Ranges (S)
3446,Hepburn (S)
3447,Mount Alexander (S)
3448,Mount Alexander (S)
3450,Mount Alexander (S)
3451,Mount Alexander (S)
3453,Greater Bendigo (C)
3458,Hepburn (S)
3460,Hepburn (S)
3461,Hepburn (S)
3462,Mount Alexander (S)
3463,Mount Alexander (S)
3464,Central Goldfields (S)
3465,Northern Grampians (S)
3467,Pyrenees (S)
3468,Pyrenees (S)
3469,Ararat (RC)
3472,Loddon (S)
3475,Loddon (S)
3477,Northern Grampians (S)
3478,Northern Grampians (S)
3480,Buloke (S)
3482,Yarriambiack (S)
3483,Buloke (S)
3485,Buloke (S)
3487,Yarriambiack (S)
3488,Yarriambiack (S)
3489,Yarriambiack (S)
3490,Mildura (RC)
3491,Mildura (RC)
3494,Mildura (RC)
3496,Mildura (RC)
3498,Mildura (RC)
3500,Mildura (RC)
3501,Mildura (RC)
3505,Mildura (RC)
3506,Mildura (RC)
3507,Mildura (RC)
3509,Mildura (RC)
3512,Mildura (RC)
3515,Campaspe (S)
3516,Loddon (S)
3517,Loddon (S)
3518,Loddon (S)
3520,Loddon (S)
