Domain_id,streetNumber,streetName,streetType,geoLocation,propertyType,bedrooms,bathrooms,carspaces,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos
4117.0,9,Clairmont,Av,"{'latitude': -37.9213484, 'longitude': 145.0256759}",Townhouse,3.0,2.0,2.0,https://www.domain.com.au/2-9-clairmont-avenue-bentleigh-vic-3204-2017645620,1300000.0,2,BH-8783-MI,https://www.domain.com.au/property-profile/9-clairmont-avenue-bentleigh-vic-3204,583.0,0
4117.0,15b,Evelyn,St,"{'latitude': -37.9182259, 'longitude': 145.0494554}",Townhouse,4.0,2.0,2.0,https://www.domain.com.au/15b-evelyn-street-bentleigh-vic-3204-2017666500,1947000.0,,HA-3584-HI,https://www.domain.com.au/property-profile/15b-evelyn-street-bentleigh-vic-3204,388.0,https://bucket-api.domain.com.au/v1/bucket/image/2017666500_1_1_220316_030051-w1600-h1067
31767.0,351,Koornang,Rd,"{'latitude': -37.9030524, 'longitude': 145.0541982}",House,3.0,1.0,2.0,https://www.domain.com.au/351-koornang-road-ormond-vic-3204-2017647379,1485000.0,,DY-7383-WB,https://www.domain.com.au/property-profile/351-koornang-road-ormond-vic-3204,546.0,https://bucket-api.domain.com.au/v1/bucket/image/2017647379_1_1_220308_054018-w1600-h1067
31767.0,44,Newham,Gr,"{'latitude': -37.9000194, 'longitude': 145.0394283}",House,4.0,2.0,3.0,https://www.domain.com.au/44-newham-grove-ormond-vic-3204-2017650369,1950000.0,,ID-4249-JM,https://www.domain.com.au/property-profile/44-newham-grove-ormond-vic-3204,756.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650369_2_1_220309_041208-w1600-h1067
4127.0,4B,Bevis,St,"{'latitude': -37.9185362, 'longitude': 145.0524465}",Unit,3.0,2.0,1.0,https://www.domain.com.au/2-4b-bevis-street-bentleigh-east-vic-3165-2017645158,1061000.0,2,NF-0730-MK,https://www.domain.com.au/property-profile/4b-bevis-street-bentleigh-east-vic-3165,232.0,0
4127.0,176,Bignell,Rd,"{'latitude': -37.9248503, 'longitude': 145.0714119}",House,3.0,1.0,2.0,https://www.domain.com.au/176-bignell-road-bentleigh-east-vic-3165-2017633255,1215000.0,,GQ-9133-VP,https://www.domain.com.au/property-profile/176-bignell-road-bentleigh-east-vic-3165,585.0,https://bucket-api.domain.com.au/v1/bucket/image/2017633255_1_1_220302_034925-w1600-h1067
4127.0,2c,Blenheim,St,"{'latitude': -37.9100354, 'longitude': 145.0699904}",Townhouse,3.0,2.0,1.0,https://www.domain.com.au/2c-blenheim-street-bentleigh-east-vic-3165-2017645965,1425000.0,,WP-2973-UN,https://www.domain.com.au/property-profile/2c-blenheim-street-bentleigh-east-vic-3165,199.0,https://bucket-api.domain.com.au/v1/bucket/image/2017645965_1_1_220308_013448-w1600-h1067
4127.0,6,Brad,St,"{'latitude': -37.9314686, 'longitude': 145.0620431}",Unit,2.0,1.0,1.0,https://www.domain.com.au/2-6-brad-street-bentleigh-east-vic-3165-2017666541,630000.0,2,XF-3429-RS,https://www.domain.com.au/property-profile/6-brad-street-bentleigh-east-vic-3165,608.0,0
4127.0,96,Castlewood,St,"{'latitude': -37.9169889, 'longitude': 145.0736221}",Townhouse,4.0,2.0,2.0,https://www.domain.com.au/2-96-castlewood-street-bentleigh-east-vic-3165-2017646597,1245000.0,2,EA-9571-YO,https://www.domain.com.au/property-profile/96-castlewood-street-bentleigh-east-vic-3165,306.0,0
4127.0,8,Clarence,St,"{'latitude': -37.9282631, 'longitude': 145.0588773}",House,3.0,1.0,2.0,https://www.domain.com.au/8-clarence-street-bentleigh-east-vic-3165-2017668005,1436000.0,,SK-5831-PH,https://www.domain.com.au/property-profile/8-clarence-street-bentleigh-east-vic-3165,593.0,https://bucket-api.domain.com.au/v1/bucket/image/2017668005_1_1_220316_061808-w1600-h1067
4127.0,31A,Purtell,St,"{'latitude': -37.9256208, 'longitude': 145.053226}",Townhouse,3.0,2.0,2.0,https://www.domain.com.au/31a-purtell-street-bentleigh-east-vic-3165-2017650040,1700000.0,,UF-3030-IA,https://www.domain.com.au/property-profile/31a-purtell-street-bentleigh-east-vic-3165,314.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650040_1_1_220309_033011-w1600-h1067
4127.0,3,Sherlowe,Ct,"{'latitude': -37.925513, 'longitude': 145.071727}",House,3.0,1.0,2.0,https://www.domain.com.au/3-sherlowe-court-bentleigh-east-vic-3165-2017652410,1270000.0,,QO-7358-BT,https://www.domain.com.au/property-profile/3-sherlowe-court-bentleigh-east-vic-3165,610.0,https://bucket-api.domain.com.au/v1/bucket/image/2017652410_1_1_220309_112200-w1600-h1067
4127.0,59,Victor,Rd,"{'latitude': -37.928083, 'longitude': 145.078487}",House,5.0,4.0,3.0,https://www.domain.com.au/59-victor-road-bentleigh-east-vic-3165-2017657398,2305000.0,,UG-4981-RF,https://www.domain.com.au/property-profile/59-victor-road-bentleigh-east-vic-3165,701.0,https://bucket-api.domain.com.au/v1/bucket/image/2017657398_1_1_220311_040519-w2000-h1500
8297.0,27,Beena,Av,"{'latitude': -37.889447, 'longitude': 145.0645629}",Unit,2.0,1.0,1.0,https://www.domain.com.au/10-27-beena-avenue-carnegie-vic-3163-2017648741,483000.0,10,OA-3206-VH,https://www.domain.com.au/property-profile/27-beena-avenue-carnegie-vic-3163,1163.0,0
